district,state,total number of drug or alcohol terms mentioned,total number of disciplinary terms mentioned,total number of health or treatment terms mentioned,number of times suspension or synonyms are mentioned,number of times expulsion or synonyms is mentioned,number of time transfer or referral to disciplinary alternative school is mentioned,number of times transfer or referral to juvenile justice program is mentioned,number of times arrest or synonyms are mentioned,number of times drug sniffing dogs or other drug screening procedures are mentioned,number of times police or school resource officers are mentioned,number of times any other terms are mentioned that relate to disciplinary approaches to student drug and alcohol use,number of times transfer or referral to treatment programs are mentioned,number of times transfer or referral to recovery schools are mentioned,number of times school based health centers or synonyms are mentioned,number of times transfer or referral to mental health clinics or other off campus health facilities are mentioned,number of times trauma-informed care or synonyms are mentioned,number of times restorative justice approaches or synonyms are mentioned,number of times drug and alcohol use prevention programs are mentioned,"number of times health-services staff such as school nurses, social workers, psychologists, or substance use counselors are mentioned",number of times any other terms are mentioned that relate to a health-oriented approach to student drug and alcohol use
Amarillo,Texas,481,464,248,74,95,36,64,16,0,8,171,7,15,0,0,11,6,49,70,90
Austin,Texas,593,590,278,92,102,39,72,26,0,28,231,7,15,0,0,12,12,55,80,97
Chico,Texas,491,472,259,75,96,37,64,16,0,8,176,7,15,0,0,12,6,52,72,95
Clear-Creek,Texas,514,490,259,85,96,37,64,16,0,8,184,7,15,0,0,12,6,52,73,94
Fabens,Texas,502,480,259,75,96,42,64,16,0,8,179,7,15,0,0,12,6,52,73,94
Huffman,Texas,498,445,255,69,91,36,64,16,0,7,162,7,14,0,0,12,6,50,72,94
Kerrville,Texas,553,485,244,92,93,35,61,15,0,7,182,7,15,0,0,11,6,49,70,86
La-Feria,Texas,477,472,225,76,96,41,68,16,0,8,167,6,15,0,0,12,6,52,48,86
Libery-Eylau,Texas,497,475,259,75,96,41,64,16,0,8,175,7,15,0,0,12,6,52,73,94
Longview,Texas,502,479,259,75,96,41,64,16,0,8,179,7,15,0,0,12,6,52,73,94
San-Isidro,Texas,491,472,248,74,95,40,61,16,0,8,178,7,15,0,0,11,6,49,71,89
Terrell,Texas,496,479,259,75,96,41,64,16,0,8,179,7,15,0,0,12,6,52,73,94
